-398.74213836477986, 2.00296735905043, 0, mean
-398.74213836477986, 2.893175074183972, 0, std
-368.55345911949684, 16.24629080118693, 1, mean
-367.2955974842767, 22.03264094955489, 1, std
-343.3962264150943, 2.670623145400583, 2, mean
-342.13836477987417, 4.228486646884264, 2, std
-333.33333333333326, 0.44510385756676385, 3, mean
-333.33333333333326, 1.7804154302670554, 3, std
-319.4968553459119, 2.00296735905043, 4, mean
-319.4968553459119, 2.670623145400583, 4, std
-305.6603773584905, 0.6676557863501387, 5, mean
-305.6603773584905, 1.5578635014836664, 5, std
-294.33962264150944, 2.893175074183972, 6, mean
-294.33962264150944, 4.228486646884264, 6, std
-283.01886792452825, 0.8902077151335277, 7, mean
-284.2767295597484, 1.7804154302670554, 7, std
-270.440251572327, 5.118694362017791, 8, mean
-271.6981132075471, 7.121661721068236, 8, std
-259.11949685534586, 7.789317507418389, 9, mean
-259.11949685534586, 10.90504451038575, 9, std
-247.79874213836473, 10.014836795252208, 10, mean
-247.79874213836473, 12.46290801186943, 10, std
-236.4779874213836, 28.041543026706222, 11, mean
-237.73584905660374, 29.599406528189895, 11, std
-222.6415094339622, 36.721068249258145, 12, mean
-223.89937106918234, 42.284866468842715, 12, std
-211.32075471698107, 44.065281899109785, 13, mean
-211.32075471698107, 50.29673590504449, 13, std
-198.74213836477986, 42.284866468842715, 14, mean
-199.99999999999994, 48.071216617210666, 14, std
-187.42138364779873, 42.95252225519287, 15, mean
-188.67924528301887, 47.848664688427284, 15, std
-174.8427672955974, 46.95845697329376, 16, mean
-176.10062893081755, 52.96735905044509, 16, std
-163.52201257861628, 47.18100890207714, 17, mean
-162.26415094339615, 52.96735905044509, 17, std
-153.4591194968553, 30.26706231454005, 18, mean
-152.2012578616352, 35.385756676557854, 18, std
-138.3647798742138, 29.821958456973277, 19, mean
-139.62264150943395, 34.7181008902077, 19, std
-127.04402515723262, 27.59643916913945, 20, mean
-128.30188679245276, 31.157270029673583, 20, std
-114.46540880503142, 27.59643916913945, 21, mean
-115.7232704402515, 30.712166172106812, 21, std
-104.40251572327043, 35.608308605341236, 22, mean
-104.40251572327043, 41.39465875370919, 22, std
-89.30817610062888, 26.70623145400593, 23, mean
-90.56603773584902, 30.712166172106812, 23, std
-80.50314465408798, 33.16023738872402, 24, mean
-80.50314465408798, 40.50445103857565, 24, std
-67.92452830188677, 16.02373887240354, 25, mean
-66.66666666666663, 20.029673590504444, 25, std
-55.3459119496855, 24.258160237388708, 26, mean
-56.60377358490564, 26.928783382789298, 26, std
-44.02515723270437, 40.28189910979227, 27, mean
-44.02515723270437, 46.51335311572699, 27, std
-31.446540880503107, 38.7240356083086, 28, mean
-31.446540880503107, 43.17507418397624, 28, std
-18.86792452830184, 38.056379821958444, 29, mean
-18.86792452830184, 43.620178041543014, 29, std
-6.289308176100576, 41.172106824925805, 30, mean
-7.547169811320714, 45.84569732937685, 30, std
5.031446540880552, 47.6261127596439, 31, mean
3.773584905660414, 54.08011869436201, 31, std
18.867924528301955, 46.290801186943604, 32, mean
16.35220125786168, 52.299703264094944, 32, std
27.672955974842807, 39.39169139465874, 33, mean
27.672955974842807, 44.95548961424331, 33, std
41.50943396226421, 34.27299703264094, 34, mean
40.25157232704407, 39.614243323442125, 34, std
52.83018867924534, 31.82492581602373, 35, mean
51.5723270440252, 36.498516320474764, 35, std
65.4088050314466, 42.507418397626104, 36, mean
65.4088050314466, 46.95845697329376, 36, std
76.72955974842773, 45.178041543026694, 37, mean
76.72955974842773, 51.18694362017803, 37, std
89.308176100629, 42.729970326409486, 38, mean
89.308176100629, 48.9614243323442, 38, std
98.11320754716985, 24.258160237388708, 39, mean
100.62893081761013, 29.599406528189895, 39, std
113.20754716981128, 16.24629080118693, 40, mean
113.20754716981128, 20.697329376854597, 40, std
123.27044025157238, 12.685459940652805, 41, mean
123.27044025157238, 16.691394658753694, 41, std
138.36477987421392, 11.572700296735903, 42, mean
138.36477987421392, 14.465875370919875, 42, std
148.4276729559749, 6.676557863501486, 43, mean
148.4276729559749, 10.90504451038575, 43, std
159.74842767295604, 2.4480712166172083, 44, mean
159.74842767295604, 4.005934718100889, 44, std
173.58490566037733, 2.893175074183972, 45, mean
174.84276729559747, 5.118694362017791, 45, std
186.1635220125787, 1.5578635014836664, 46, mean
184.90566037735857, 2.893175074183972, 46, std
197.48427672955984, 2.4480712166172083, 47, mean
196.2264150943397, 4.228486646884264, 47, std
208.80503144654085, 0, 48, mean
208.80503144654085, 0.8902077151335277, 48, std
244.02515723270437, 0, 49, mean
241.5094339622642, 0.8902077151335277, 49, std
